,Year_Month,HMV,LMV,MSL
195,Mar-76,141,-21,56
196,Apr-76,143,-14,62
197,May-76,146,-10,66.7
198,Jun-76,148,9,76.1
199,Jul-76,153,3,80.4
200,Aug-76,144,-4,71.3
201,Sep-76,157,6,84.5
202,Oct-76,150,-10,72.4
203,Nov-76,136,-11,62.1
204,Dec-76,141,-7,60.4
205,Jan-77,129,-15,54.7
206,Feb-77,126,-30,53
207,Mar-77,129,-29,50.3
208,Apr-77,141,-30,55.5
209,May-77,132,-20,60.8
210,Jun-77,151,4,74.7
211,Jul-77,154,3,72
212,Aug-77,151,5,81.2
213,Sep-77,151,7,78.7
214,Oct-77,143,-1,69.4
215,Nov-77,134,-14,62
216,Dec-77,143,-4,62.5
217,Jan-78,133,-26,58.3
218,Feb-78,135,-20,56.9
219,Mar-78,138,-15,59.4
220,Apr-78,134,-15,60
221,May-78,135,-8,62.4
222,Jun-78,147,0,68.4
223,Jul-78,150,4,72.5
224,Aug-78,157,4,74.5
225,Sep-78,156,9,72.9
226,Oct-78,141,-2,69.6
227,Nov-78,132,-5,60.4
228,Dec-78,130,-22,55.5
229,Jan-79,139,-20,50.8
230,Feb-79,140,-20,55.6
231,Mar-79,153,-21,59.6
232,Apr-79,137,-12,58.4
233,May-79,147,0,67.2
234,Jun-79,142,6,70.6
235,Jul-79,149,10,77.5
236,Aug-79,148,-11,72.8
237,Sep-79,158,-4,74.7
238,Oct-79,159,-2,73.5
239,Nov-79,140,-14,57
240,Dec-79,134,-14,55.3
241,Jan-80,128,-18,57.2
242,Feb-80,117,-41,43.4
243,Mar-80,128,-37,49.6
244,Apr-80,132,-22,52
245,May-80,140,-9,59.3
246,Jun-80,136,4,61.6
247,Jul-80,142,8,69.8
248,Aug-80,150,6,78
249,Sep-80,151,-15,74.8
250,Oct-80,148,-18,65.8
251,Nov-80,141,-10,58.3
252,Dec-80,145,-8,61.5
253,Jan-81,124,-13,55.2
254,Feb-81,126,-20,55.3
255,Mar-81,131,-35,53.1
256,Apr-81,141,-18,57.5
257,May-81,130,-27,58.6
258,Jun-81,136,-8,67
259,Jul-81,140,8,67.2
260,Aug-81,144,-3,74.2
261,Sep-81,151,-10,74.8
262,Oct-81,136,-18,66.5
263,Nov-81,141,-13,59.2
264,Dec-81,132,-12,55.1
265,Jan-82,136,-14,51.8
266,Feb-82,129,-25,50.8
267,Mar-82,128,-26,52
268,Apr-82,138,-13,59.3
269,May-82,138,-7,63.9
270,Jun-82,150,4,67.2
271,Jul-82,151,4,69.6
272,Aug-82,149,4,74.9
273,Sep-82,146,2,75.5
274,Oct-82,141,-9,67.8
275,Nov-82,133,-21,56.3
276,Dec-82,138,-11,51
277,Jan-83,150,-25,50.6
278,Feb-83,132,-26,52.9
279,Mar-83,142,-22,58.2
280,Apr-83,133,-17,58.5
281,May-83,137,-2,62.9
282,Jun-83,154,8,74
283,Jul-83,153,11,74.3
284,Aug-83,149,-5,77.4
285,Sep-83,156,-2,81.3
286,Oct-83,145,-7,67.3
287,Nov-83,133,-10,57.5
288,Dec-83,130,-8,56
289,Jan-84,134,-12,55.5
290,Feb-84,137,-28,53.2
291,Mar-84,145,-26,53
292,Apr-84,137,-21,56.6
293,May-84,137,-3,63.6
294,Jun-84,141,10,72.4
295,Jul-84,152,10,74
296,Aug-84,159,5,74.8
297,Sep-84,144,-14,70.3
298,Oct-84,146,-11,69.7
299,Nov-84,137,-3,64.3
300,Dec-84,136,-4,59.9
