"datetime","wave_height","Period","year"
2019-03-15 20:30:00,2.5,6.4,2019
2019-03-21 16:00:00,2.5,5.8,2019
2019-03-30 20:00:00,3.1,7.1,2019
2020-08-27 06:30:00,3.1,5.8,2020
2020-12-30 06:00:00,2.8,5.6,2020
2021-01-06 23:00:00,3.2,6.3,2021
2021-01-28 19:30:00,3,6,2021
2021-02-15 16:00:00,2.9,5.5,2021
2021-02-18 06:30:00,2.5,5.6,2021
2021-03-21 17:30:00,2.8,5.3,2021
2021-10-17 00:30:00,2.4,5.6,2021
2021-11-09 03:30:00,2.7,5.4,2021
2021-11-22 06:00:00,2.8,5.6,2021
2021-11-30 23:00:00,3.1,5.7,2021
2021-12-17 16:30:00,2.5,5.5,2021
2021-12-19 00:30:00,2.8,5.5,2021
2021-12-25 04:30:00,2.4,4.9,2021
2021-12-29 21:00:00,2.4,5.1,2021
2022-10-10 04:30:00,3.3,8,2022
2022-12-07 01:00:00,2.4,5.8,2022
2022-12-13 19:30:00,3.5,8,2022
2022-12-23 04:30:00,3,6.4,2022
2023-03-12 20:30:00,2.7,5.8,2023
2023-11-06 02:00:00,2.7,7.1,2023
2023-11-06 23:30:00,3.3,9.1,2023
2023-11-28 01:00:00,2.4,6.4,2023
2023-12-07 00:30:00,2.6,7.1,2023
2023-12-16 10:30:00,2.9,7.1,2023
2024-01-22 09:00:00,2.4,6.4,2024
2024-01-23 16:30:00,2.4,6.4,2024
2024-03-01 05:00:00,2.8,5.8,2024
2024-03-19 20:30:00,2.7,7.1,2024
2024-07-21 05:30:00,2.4,7.8,2024
2024-10-23 03:30:00,3,8.3,2024
2024-11-26 08:00:00,2.4,6,2024
2024-11-27 06:00:00,3.3,9.8,2024
2024-11-28 05:30:00,3.1,9.8,2024
