"Year","datetime","wave_height","peak_period"
2020,2020-08-27 06:30:00,"3.10","5.80"
2020,2020-11-27 16:30:00,"2.10","5.50"
2020,2020-12-30 06:00:00,"2.80","5.60"
2021,2021-01-06 23:00:00,"3.20","6.30"
2021,2021-01-28 19:30:00,"3.00","6.00"
2021,2021-02-15 16:00:00,"2.90","5.50"
2021,2021-03-21 17:30:00,"2.80","5.30"
2021,2021-11-30 23:00:00,"3.10","5.70"
2022,2022-02-01 05:30:00,"2.30","5.50"
2022,2022-10-10 04:30:00,"3.30","8.00"
2022,2022-12-07 01:00:00,"2.40","5.80"
2022,2022-12-13 19:30:00,"3.50","8.00"
2022,2022-12-23 04:30:00,"3.00","6.40"
2023,2023-03-12 20:30:00,"2.70","5.80"
2023,2023-11-06 02:00:00,"2.70","7.10"
2023,2023-11-06 23:30:00,"3.30","9.10"
2023,2023-12-07 00:30:00,"2.60","7.10"
2023,2023-12-16 10:30:00,"2.90","7.10"
2024,2024-03-01 05:00:00,"2.80","5.80"
2024,2024-03-19 20:30:00,"2.70","7.10"
2024,2024-10-23 03:30:00,"3.00","8.30"
2024,2024-11-27 06:00:00,"3.30","9.80"
2024,2024-11-28 05:30:00,"3.10","9.80"
